"","Incident.Number","Call.Date.Time","Location","Incident.Type","Other","Individual","Dispositions","Race","Gender","AgeRange","Reason","Enforcement","CarSearch","lat","long","Arrest","Emergency.Psych.Eval","Hour","Day"
"10970","2016-00004198",2016-01-21 23:57:00,"COLLEGE AVE / DURANT AVE","T",NA,1,"WM2TWN","White","M","2","Traffic","Warning","No Search",37.8683469,-122.2544485,"Not Arrested","No",23,"5"
"10971","2016-00004200",2016-01-22 00:00:00,"CEDAR ST / SHATTUCK AVE","T",NA,1,"WM2TCN","White","M","2","Traffic","Citation","No Search",37.8784363,-122.2690398,"Not Arrested","No",0,"6"
"10972","2016-00004201",2016-01-22 00:10:00,"HASTE ST / SHATTUCK AVE","T",NA,1,"BF2TWN","Black","F","2","Traffic","Warning","No Search",37.8648936,-122.2674117,"Not Arrested","No",0,"6"
"10973","2016-00004205",2016-01-22 00:27:00,"ASHBY AVE / REGENT ST","T",NA,1,"HF2TWN","Hispanic","F","2","Traffic","Warning","No Search",37.8565533,-122.2568214,"Not Arrested","No",0,"6"
"10974","2016-00004207",2016-01-22 00:44:00,"THE ALAMEDA / YOLO AVE","T",NA,1,"WF3TCN","White","F","3","Traffic","Citation","No Search",37.8849296,-122.274549,"Not Arrested","No",0,"6"
"10975","2016-00004208",2016-01-22 00:55:00,"UNIVERSITY AVE / SAN PABLO AVE","T","AR, P",1,"OM2TAN","Other","M","2","Traffic","Arrest","No Search",37.8690521,-122.2921723,"Arrested","No",0,"6"
"10976","2016-00004227",2016-01-22 04:42:00,"1800 BLOCK FOURTH ST","1194","M",1,"WM4IWN","White","M","4","Investigation","Warning","No Search",37.8699091,-122.3008864,"Not Arrested","No",4,"6"
"10977","2016-00004282",2016-01-22 13:19:00,"GRANT ST / PARKER ST","1194",NA,1,"WM4IAS","White","M","4","Investigation","Arrest","Search",37.8612751,-122.2738902,"Arrested","No",13,"6"
"10978","2016-00004300",2016-01-22 14:51:00,"ASHBY AVE / SHATTUCK AVE","T",NA,1,"WF2WAS","White","F","2","Wanted","Arrest","Search",37.8552946,-122.2665022,"Arrested","No",14,"6"
"10979","2016-00004350",2016-01-22 19:41:00,"TENTH ST / ADDISON ST","T",NA,1,"WM4TCN","White","M","4","Traffic","Citation","No Search",37.8675876,-122.2928899,"Not Arrested","No",19,"6"
"10980","2016-00004357",2016-01-22 20:19:00,"30 BLOCK SOMERSET PL","1196",NA,1,"WM2IOS","White","M","2","Investigation","Other","Search",37.89447,-122.273666,"Not Arrested","No",20,"6"
"10981","2016-00004358",2016-01-22 20:32:00,"STANFORD AVE / MARKET ST","T",NA,1,"OM3TWS","Other","M","3","Traffic","Warning","Search",37.8444436,-122.2751543,"Not Arrested","No",20,"6"
"10982","2016-00004359",2016-01-22 20:36:00,"TELEGRAPH AVE / SIXTY-THIRD ST","T",NA,1,"BF2TWN","Black","F","2","Traffic","Warning","No Search",37.874013,-122.303478,"Not Arrested","No",20,"6"
"10983","2016-00004360",2016-01-22 20:37:00,"ASHBY AVE / OTIS ST","T",NA,1,"WF2TWN","White","F","2","Traffic","Warning","No Search",37.8544226,-122.2700067,"Not Arrested","No",20,"6"
"10984","2016-00004361",2016-01-22 20:39:00,"SAN PABLO AVE / PAGE ST","T",NA,1,"WF3TWN","White","F","3","Traffic","Warning","No Search",37.8775762,-122.2947998,"Not Arrested","No",20,"6"
"10985","2016-00004362",2016-01-22 20:40:00,"1600 BLOCK RUSSELL ST","1194",NA,1,"BM4RWS","Black","M","4","Reasonable Suscipcion","Warning","Search",37.8552306,-122.2772092,"Not Arrested","No",20,"6"
"10986","2016-00004363",2016-01-22 20:43:00,"DERBY ST / MCGEE AVE","T","AR, P",1,"WM2TAS","White","M","2","Traffic","Arrest","Search",37.8592717,-122.2758053,"Arrested","No",20,"6"
"10987","2016-00004366",2016-01-22 20:50:00,"HARPER ST / RUSSELL ST","T",NA,1,"BF2TWN","Black","F","2","Traffic","Warning","No Search",37.8559842,-122.2723598,"Not Arrested","No",20,"6"
"10988","2016-00004367",2016-01-22 20:52:00,"M L KING JR WAY / ASHBY AVE","T",NA,1,"BM1TWS","Black","M","1","Traffic","Warning","Search",37.8542718,-122.2711408,"Not Arrested","No",20,"6"
"10989","2016-00004368",2016-01-22 20:54:00,"HOPKINS ST / SACRAMENTO ST","1194",NA,1,"HM1IWS","Hispanic","M","1","Investigation","Warning","Search",37.880995,-122.2832534,"Not Arrested","No",20,"6"
"10990","2016-00004370",2016-01-22 21:02:00,"DURANT AVE / TELEGRAPH AVE","T",NA,1,"BM2TWN","Black","M","2","Traffic","Warning","No Search",37.867814,-122.2589767,"Not Arrested","No",21,"6"
